UNMAPPED_FUNCTION_Contains
UNMAPPED_FUNCTION_Equals
UNMAPPED_FUNCTION_Greater
UNMAPPED_FUNCTION_GreaterOrEqual
UNMAPPED_FUNCTION_In
UNMAPPED_FUNCTION_LessOrEqual
UNMAPPED_FUNCTION_NotEquals
UNMAPPED_FUNCTION_all
UNMAPPED_FUNCTION_allFalse
UNMAPPED_FUNCTION_allTrue
UNMAPPED_FUNCTION_as
UNMAPPED_FUNCTION_children
UNMAPPED_FUNCTION_count
UNMAPPED_FUNCTION_descendants
UNMAPPED_FUNCTION_distinct
UNMAPPED_FUNCTION_extension
UNMAPPED_FUNCTION_first
UNMAPPED_FUNCTION_htmlChecks
UNMAPPED_FUNCTION_intersect
UNMAPPED_FUNCTION_isDistinct
UNMAPPED_FUNCTION_length
UNMAPPED_FUNCTION_memberOf
UNMAPPED_FUNCTION_ofType
UNMAPPED_FUNCTION_repeat
UNMAPPED_FUNCTION_resolve
UNMAPPED_FUNCTION_select
UNMAPPED_FUNCTION_startsWith
UNMAPPED_FUNCTION_substring
UNMAPPED_FUNCTION_toString
UNMAPPED_FUNCTION_trace
UNMAPPED_FUNCTION_where
UNMAPPED_OPERATOR_Concatenate in Node type: Name
UNMAPPED_OPERATOR_Implies in Node type: Group
UNMAPPED_OPERATOR_Implies in Node type: Name
UNMAPPED_OPERATOR_Plus in Node type: Constant
UNMAPPED_OPERATOR_Plus in Node type: Name
UNMAPPED_OPERATOR_Xor in Node type: Function
UNMAPPED_OPERATOR_Xor in Node type: Group
UNMAPPED_OPERATOR_Xor in Node type: Name
